Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
GONZ¡LEZ DE CANALES, FERNANDO - HUELVA;RICO 7;21001;HUELVA;HUELVA;959255269;;;;MEDICOS ESPECIALISTAS;;;;;
CONSTRUCCIONES NIEVES GARRIDO - HUELVA;RICO, 33;21001;HUELVA;HUELVA;605908064;;nievesgarrido@terra.es;;OBRA DE REFORMA;;;;;
GESTION MARITIMA DEL SUDOESTE S.L. - HUELVA;RICO, 33;21001;HUELVA;HUELVA;959251323;;info@gmm-abogados.com;www.ggm-abogados.com;;;;;;
GESTION MARITIMA DEL SUDOESTE;RICO, 33;21001;HUELVA;HUELVA;959251323;;sudoeste@sudoeste.info;www.sudoeste.info;;;;;;
FEDERACION ANDALUZA DE ATLETISMO - HUELVA;RICO, 35;21001;HUELVA;HUELVA;959281289;;;;ASOCIACIONES DEPORTIVAS;;;;;
COLEGIO OFC. ING. AGRONOMOS;RICO, 38;21001;HUELVA;HUELVA;959284112;;huelva@coiaa.org;;SALUD;;;;;
OBJETIVO UNO;RICO, 6;21001;HUELVA;HUELVA;959245676;;objetivouno@tpi.infomail.es;;;;;;;
GARCIA DOMINGUEZ ANAS;RIO DARRO, 27;29649;HUELVA;HUELVA;952460875;;angado@teleline.es;;;;;;;
ADAN PEREZ GUTIERREZ - HUELVA;RÕO DE LA PLATA, 16;21005;HUELVA;HUELVA;655754493;;;;ELECTRICISTAS;;;;;
TAURO SERVICIOS GENERALES S.L. - HUELVA;RÕO DE LA PLATA, 18;21005;HUELVA;HUELVA;959152020;;;;SERVICIOS A EMPRESAS;;;;;
FERNANDEZ, MARTIN, P. - HUELVA;ROCIANA, 2;21007;HUELVA;HUELVA;959232128;;;;INMOBILIARIAS;;;;;
CENTRO DE EDUCACION PRIMARIA LOS ROSALES - HUELVA;ROCINANTE, S/N;21007;HUELVA;HUELVA;959524174;;;;ESCUELAS PUBLICAS ;;;;;
