Empresa;Dirección;CP;Ciudad;Provincia;Teléfono;Móvil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
ATAULFO CATERING SL;;41210;GUILLENA;SEVILLA;661867915;4;;;;;;;;
YMEY;;41210;GUILLENA;SEVILLA;626230265;4;;;;;;;;
CODISEVAND SL;;41210;GUILLENA;SEVILLA;690833046;20;;;;;;;;
RUBACAR CERRO SLL;;41210;GUILLENA;SEVILLA;955784304;4;;;;;;;;
CERRAMIENTOS GUILLENA;;41210;GUILLENA;SEVILLA;955780213;9;;;;;;;;
PANTOGRAFIADOS DEL SUR;;41210;GUILLENA;SEVILLA;955784488;3;;;;;;;;
ATAULFO CATERING SL;;41210;GUILLENA;SEVILLA;661867915;4;;;;;;;;
GOYMAR PROYECTOS E INSTALACIONES SL;;41210;GUILLENA;SEVILLA;955784524;20;;;;;;;;
GUILLALBA CLIMA, S.L.;;41210;GUILLENA;SEVILLA;955785961;5;;;;;;;;
ORIHUELA MOTOR SL;;41210;GUILLENA;SEVILLA;955785353;6;;;;;;;;
FERRETERIA HERBA SCA;;41210;GUILLENA;SEVILLA;955784021;4;;;;;;;;
HACIENDA LA HUERTA;;41220;BURGUILLOS;SEVILLA;955131201;6;;;;;;;;
AUTOCARES EL TENIENTE SL;;41220;BURGUILLOS;SEVILLA;955131904;7;;;;;;;;
CONSTRUCCIONES RAJUFER SL;;41220;BURGUILLOS;SEVILLA;955738200;8;;;;;;;;
FERREGON FERRETERIA Y SUMINISTROS;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;955793307;5;;;;;;;;
MAFE RIEGO SL;;41300;SAN JOSE RINCONADA;SEVILLA;954916010;10;;;;;;;;
EMILIO JOSE MAGALLANES (CARNICERIA);;41300;SAN JOSE RINCONADA;SEVILLA;955794165;3;;;;;;;;
A DOS AUDIO, S.L.;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;653988743;4;;;;;;;;
PEDRO GONZALEZ DE LUIS SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954510221;5;;;;;;;;
MONBAÑO CERAMICAS, SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954791973;4;;;;;;;;
AGRICOLAS CISUR,SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;633798763;3;;;;;;;;
Mª CARMEN PEÑA MONTORO (COSQUILLITAS);;41300;SAN JOSE DE LA RINCONADA;SEVILLA;639765823;5;;;;;;;;
ABEL GONZALEZ GONZALEZ;;41300;SAN Jos;SEVILLA;955793307;3;;;;;;;;
C21 SOLUCIONES DE INTERIORES;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954790830;6;;;;;;;;
INSTALACIONES ELECTRICAS JULIAN RAMIREZ SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954791274/ 619100980;4;;;;;;;;
DKCLIMA SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;95 435 55 70;6;;;;;;;;
FERRETERIA JERR SUMINISTROS INDUSTRIALES SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954915329;4;;;;;;;;
ANRELEC INFORMATICA SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954790175;4;;;;;;;;
TAPIZADOS JOYFA;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954792655;5;;;;;;;;
(R)TRANSPORTES HIJO DE GONZALEZ;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;653857848;10;;;;;;;;
MANUEL LOPEZ SANCHEZ;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;955793268;5;;;;;;;;
AGRICOLA GANADERA SAN MARTIN SA;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954686264/ 610832820/ 60827125;5;;;;;;;;
CLINICA DENTAL REGODENT SL;;41300;SAN JOSE DE LA RINCONADA;SEVILLA;954792548;4;;;;;;;;
FRIO SAN JOSE;;41300;SAN JOSE RINCONADA;SEVILLA;955790906;4;;;;;;;;
FERNANDO ESPINA ZAMBRANO (AUTO-ESCUELA GU;;41309;LA RINCONADA;SEVILLA;955326248;3;;;;;;;;
CONSULTING SEVISA,S.L.U;;41309;SAN JOSE DE LA RINCONADA;SEVILLA;955793486;4;;;;;;;;
DISTRIBUCIONES AUTOMATICAS TECNOLOGICAS DE SEGURIDAD ACTIVA SL;;41309;LA RINCONADA;SEVILLA;954791525;3;;;;;;;;
IRENZO, S.L.;;41309;LA RINCONADA;SEVILLA;954907361;15;;;;;;;;
ALEXANDESING;;41309;LA RINCONADA;SEVILLA;665521647;4;;;;;;;;
MULTISERVICIOS LA UNION;;41309;LA RINCONADA;SEVILLA;673578235;4;;;;;;;;
MANUEL CARMONA SANTOS;;41310;BRENES;SEVILLA;954796533;3;;;;;;;;
HERMANOS OCAnA MUnOZ SL;;41310;BRENES;SEVILLA;954796080;10;;;;;;;;
PANIFICADORA SANTA VERENIA S.L.;;41310;BRENES;SEVILLA;954796523;3;;;;;;;;
STOCKFRUIT;;41310;BRENES;SEVILLA;620944633;5;;;;;;;;
LOCUTORIO BRENES;;41310;BRENES;SEVILLA;954796841;4;;;;;;;;
JOSE GOMEZ ALCARAZ;;41310;BRENES;SEVILLA;954796262;3;;;;;;;;
CLIMA BERBEL SL;;41310;BRENES;SEVILLA;954796260;3;;;;;;;;
FRANCISCO CAMPOS SANCHEZ;;41310;BRENES;SEVILLA;654506806;3;;;;;;;;
DEPORTES BRENES SL;;41310;BRENES;SEVILLA;954797775;3;;;;;;;;
INSTALACIONES RUDA;;41310;BRENES;SEVILLA;954796137;5;;;;;;;;
FELICIANO NEVADO DELGADO;;41310;BRENES;SEVILLA;699741091;3;;;;;;;;
FUNDACION TAS;;41310;BRENES;SEVILLA;955655835;10;;;;;;;;
MUEBLES CARMEN LEON;;41310;BRENES;SEVILLA;954796461;4;;;;;;;;
ENTRENA SUMINISTROS Y TRASPORTES SL;;41318;VILLAVERDE DEL RIO;SEVILLA;955736612;4;;;;;;;;
MARIA DEL CARMEN BARROSO NOFUENTE;;41318;VILLAVERDE DEL RIO;SEVILLA;955737236;3;;;;;;;;
AGRICOLA ROMAN VEGA SL;;41318;VILLAVERDE DEL RIO;SEVILLA;955736710;8;;;;;;;;
JOSE MANUEL GUILLEN NAVARRO;;41318;VILLAVERDE DEL RIO;SEVILLA;955737326;5;;;;;;;;
AUTOESCUELA TOÑI Y CHIQUI SC;;41318;VILLAVERDE DEL RIO;SEVILLA;626068397;4;;;;;;;;
SUMINISTROS DEL CAMPO SL;;41318;VILLAVERDE DEL RIO;SEVILLA;955737023;4;;;;;;;;
RUBSER AUTOEMOCION SL;;41318;VILLAVERDE DEL RIO;SEVILLA;677428385;3;;;;;;;;
FORNAULT;;41320;CANTILLANA;SEVILLA;955730045;6;;;;;;;;
CERRAJERIA ARTISTICA Y DE ALUMINIO GLEZ ZAMORA;;41320;CANTILLANA;SEVILLA;955730478;4;;;;;;;;
SEnALIZACIONES JICA ANDALUZA SL;;41320;CANTILLANA;SEVILLA;955731330;16;;;;;;;;
CARNICERIA JACINTO GONZALEZ BLANCO;;41320;CANTILLANA;SEVILLA;955730607;4;;;;;;;;
CANTILLANA COLOR SL;;41320;CANTILLANA;SEVILLA;955731898;7;;;;;;;;
AUTOESCUELA RIOS 2000 SL;;41320;CANTILLANA;SEVILLA;955730625;4;;;;;;;;
MENE;;41320;CANTILLANA;SEVILLA;955730940;3;;;;;;;;
CRISTALERIA FRANCISCO JOSE GONZALEZ RIO;;41320;CANTILLANA;SEVILLA;955730691/ 654565117;3;;;;;;;;
MANUEL DOMINGUEZ LARA;;41320;CANTILLANA;SEVILLA;955732643;3;;;;;;;;
FRANCISCO JOSE RAMOS LOZANO;;41320;CANTILLANA;SEVILLA;955730138;3;;;;;;;;
PROYECTOS Y CONSTRUCCIONES CANTILLANA, S.L.;;41320;SEVILLA;SEVILLA;955731269;4;;;;;;;;
TECMAPRO;;41320;CANTILLANA;SEVILLA;955730839;10;;;;;;;;
JAMONES Y EMBUTIDOS CAÑAVATE SC;;41320;CANTILLANA;SEVILLA;955730688;3;;;;;;;;
MAYTU SL;;41320;LORA DEL RIO;SEVILLA;955730180;3;;;;;;;;
TOLDOS Y PERSIANAS RIOS;;41320;CANTILLANA;SEVILLA;955730182;3;;;;;;;;
HNOS. JIMENEZ MIRANDA S.C.;;41320;CANTILLANA;SEVILLA;955730197;4;;;;;;;;
FRANCISCO CEPERO PEREZ;;41320;CANTILLANA;SEVILLA;656674199;4;;;;;;;;
AREA DE SERVICIO LA ESTACION SL;;41390;CANTILLANA;SEVILLA;955952056;5;;;;;;;;
