Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
PC FACTORY - BOLLULLOS DE LA MITACION;ADELAIDA CUETO, 3;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766591;;;www.pc-factory.net;INFORMATICAYOFIMATICA:ESTABLECIMIENTOS;;;;;
CONTRUCCIONES Y CONTRATAS HISPALIS S.L.U - BOLLULLOS DE LA MITACION;ALGARROBO, 29;41110;BOLLULLOS DE LA MITACION;SEVILLA;955778098;;;;COTOSDECAZA:GESTIONMEDIOAMBIENTALYASESORAMIENTO;;;;;
TAPICAR RESTAURACION - BOLLULLOS DE LA MITACION;ANTONIO GALA, 1;41110;BOLLULLOS DE LA MITACION;SEVILLA;653784500;;info@tapicarrestauracion.es;;AUTOMOVILES:TAPICERIAS;;;;;
REYVELARDEINMOBILIARIASOCIEDADDERESPONSABILIDADLIMITADA.-BOLLULLOSDELAMITACION;ANTONIO GALA, 2;41110;BOLLULLOS DE LA MITACION;SEVILLA;955765718;;reyvelarde@supercable.es;;AGENCIA INMOBILIARIA;;;;;
REY VELARDE INMOBILIARIA SOCIEDAD DE RESPONSABILIDAD LIMITADA. - BOLLULLOS DE LA MITACION;ANTONIO GALA, 2;41110;BOLLULLOS DE LA MITACION;SEVILLA;955765718;;reyvelarde@supercable.es;;INMOBILIARIA;;;;;
SUPERMERCADOS JOAQUIN - BOLLULLOS DE LA MITACION;ANTONIO MACHADO, 16;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766231;;;;SUPERMERCADOSEHIPERMERCADOS;;;;;
PAPELERIA FONSECA - BOLLULLOS DE LA MITACION;ANTONIO MACHADO, 32;41110;BOLLULLOS DE LA MITACION;SEVILLA;955765024;;;;PAPELERIA:ESTABLECIMIENTOS;;;;;
SUPERMERCADOS GUZMAN - BOLLULLOS DE LA MITACION;ANTONIO MACHADO, 6;41110;BOLLULLOS DE LA MITACION;SEVILLA;955765391;;;;SUPERMERCADOSEHIPERMERCADOS;;;;;
HIERROS Y APLANACIONES S.A. - BOLLULLOS DE LA MITACION;ATALAYA (URB. LA FLORIDA), 2;41110;BOLLULLOS DE LA MITACION;SEVILLA;955766604;;;;HIERRO:ALMACENES;;;;;
VIMPICA ENTIDAD BENEFICA DE CONSTRUCCION;AV RONDA DE LOS TEJARES 22;14001;BOLLULLOS MITACION;SEVILLA;957479227;;;;GRANOS Y SEMILLAS PRODUCCI”N  ;;;;;
NET L5 S.CV. - BOLLULLOS DE LA MITACION;AV. ALBAIDA (PARQ. IND. PIBO), 1;41110;BOLLULLOS DE LA MITACION;SEVILLA;955776841;;;;INFORMATICA:SERVICIOSAEMPRESAS;;;;;
