Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
COMUNITEL GLOBAL S.A. - BEAS;AV. ANDALUCÍA, 55;21630;BEAS;HUELVA;959308950;;;;TELECOMUNICACIONES;;;;;
DANIEL GONZALEZ ANTUNEZ - BEAS;BDA. TENIENTE GARCÍA GUTIÉRREZ, S/N;21630;BEAS;HUELVA;651830423;;;;OBRA DE REFORMA;;;;;
ACADEMIA IDIOMAS DE LA ROSA - BEAS;CALLE CLARINES, 21;21630;BEAS;HUELVA;617147258;;;;ACADEMIA DE IDIOMAS;;;;;
ATM INFORMATICA S.C.A;CALLE CRUZ VERDE, 5;21630;BEAS;HUELVA;959309819;;atm@atm-informatica.com;;;;;;;
ACEITE CANDON;CARRETERA BEAS - CANDON, S/N;CANDON;BEAS;HUELVA;959308073;;cooperativaaceitescandon@hotmail.com;;CONSTRUCCION;;;;;
ACEITE CANDÓN - BEAS;CARRETERA BEAS - CANDÓN, S/N;21639;BEAS;HUELVA;959308073;;cooperativaaceitescandon@hotmail.com;;ACEITES;;;;;
OLIBEAS - BEAS;CARRETERA CLARINES, S/N;21630;BEAS;HUELVA;959308061;;olibeas@olibeas.com;;ACEITES;;;;;
OLIBEAS;CARRETERA CLARINES, S/N;21630;BEAS;HUELVA;959308061;;olibeas@olibeas.com;www.olibeas.com;;;;;;
CEFERINO RODRIGUEZ VILLASEÑOR - BEAS;COLÓN, 0;21630;BEAS;HUELVA;959308654;;;;AUTOESCUELAS;;;;;
CLARINES - BEAS;COLÓN, 9;21630;BEAS;HUELVA;959308938;;;;FERRETERIAS ;;;;;
MONTAJES E INSTALACIONES JOYMA S.L.  ;CONCEJO, 9;21630;BEAS;HUELVA;959309005;;maypaslu@yahoo.es;;;;;;;
CLINICA DENTAL MANUEL MÁRQUEZ MORA - BEAS;CRUZ VERDE 56;21630;BEAS;HUELVA;959308773;;odnmanuel@hotmail.com;;ESTOMATOLOGOS;;;;;
RESIDENCIA DE ANCIANOS NUESTRA SEÑORA DE LOS CLARINES;CTRA CANDON, S/N;21630;BEAS;HUELVA;959308747;;rclarines@terra.es;;AUTOMOVIL;;;;;
J. ROSILLO SAYAGO, S.A.;DIEGO VELAZQUEZ, 17;21630;BEAS;HUELVA;959367880;959367771;jrs@tpi.infomail.es;;BANCOS Y CAJAS;;;;;
FERRETERIA ABUELO PEPE - BEAS;DON PEDRO DÍAZ, 19;21630;BEAS;HUELVA;959308008;;abuelo_pepe@homail.com;;FERRETERIAS;;;;;
FONTAFRIO;FONTANILLAS, 50;21630;BEAS;HUELVA;959309830;;fontafrio@terra.es;;CONSTRUCCION;;;;;
CENTRO DE SERVICIOS SOCIALES DE BEAS - BEAS;SAN BARTOLOME, 15;21630;BEAS;HUELVA;959309835;;servicio.local@aytobeas.es;;;;;;;
PUBLIIDEA - PATERNA DEL CAMPO;BDA. ANTONIO MACHADO, S/N;21880;PATERNA DEL CAMPO;HUELVA;959428739;;publiidealaboral@hotmail.com;;SALUD - BELLEZA Y ESTETICA ;;;;;
ASESORIA GESTON GLOBAL;CALLE LA PLAZA 66 21880;;PATERNA DEL CAMPO;HUELVA;959428106;;info@asesoriagestionglobal.com;www.asesoriagestionglobal.com;;;;;;
CALERO SANCHEZ LUNA;CALLE LA PLAZA, 1;21880;PATERNA DEL CAMPO;HUELVA;34959428635;;aaoc1976@yahoo.es;;;;;;;
ASESORIA GESTION GLOBAL S.L.;CALLE LA PLAZA, 66;21880;PATERNA DEL CAMPO;HUELVA;959428106;;global@eresmas.com;;TEXTIL;;;;;
PATERCON S.L. - PATERNA DEL CAMPO;CANTO EMIGRANTES, 2;21880;PATERNA DEL CAMPO;HUELVA;959428503;;info@patercon.com;www.patercon.com;INMOBILIARIA;;;;;
TINTORERIAS LAVALLES;CONSTITUCION 13;;PATERNA DEL CAMPO;HUELVA;959428110;;pedrojvalles@hotmail.com;www.tintoreriaslavalles.com;;;;;;
COOPERATIVA SAN BARTOLOME;EL PALACIO, S/N;21880;PATERNA DEL CAMPO;HUELVA;959428229;;ajpm1975@hotmail.com;;INMOBILIARIA;;;;;
TALLERES VALDERAS FERNANDEZ S.L. - PATERNA DEL CAMPO;FRANCISCO MENDOZA, 29;21880;PATERNA DEL CAMPO;HUELVA;959428056;;;;CARPINTERIA METALICA;;;;;
HERMANAS MORO, S.L.;FRANCISCO MENDOZA, 43 BAJO;21880;PATERNA DEL CAMPO;HUELVA;959428157;959428157;hnas_moro@yahoo.es;;HOSTELERIA Y RESTAURACION;;;;;
PATERCON S.L. - PATERNA DEL CAMPO;MANUEL DE FALLA, 16;21880;PATERNA DEL CAMPO;HUELVA;959428873;;obras@patercon.com;www.patercon.com;SERV. JURIDICOS;;;;;
AYUNTAMIENTO DE PATERNA DEL CAMPO;PL. ESPAÑA, S/N;21880;PATERNA DEL CAMPO;HUELVA;959428001;;paternacampo@diphuelva.es;;;;;;;
JOSE ANTONIO ALTUBE GARRIDO - PATERNA DEL CAMPO;RAFAEL BALLESTEROS, 77;21880;PATERNA DEL CAMPO;HUELVA;959428405;;;;ESTOMATOLOGOS;;;;;
MOVIL PHONE ALCOR S.L.U.  ;CALL CONSTITUCION, 4;21880;PATERNA CAMPO;HUELVA;959428785;;movilphone@arraquis.es;;INFORMATICA/TELEFONIA;;;;;
FERNANDEZ ROMAN RAFAEL;CALL OROZCO, 29;21880;PATERNA CAMPO;HUELVA;959428536;;rfdezroman@wanadoo.es;;;;;;;
FUNDACION SOR ANGELA DE LA CRUZ - ESCACENA DEL CAMPO;ANTIGUA CIUDAD TEJADA, 1;21870;ESCACENA DEL CAMPO;HUELVA;959423126;;;;TERCERA EDAD ;;;;;
AYUNTAMIENTO DE ESCACENA DEL CAMPO;MESON, 3;21870;ESCACENA DEL CAMPO;HUELVA;959423038;;ayto_escacena@diphuelva.es;;;;;;;
AYUNTAMIENTO ESCACENA CAMPO - ESCACENA DEL CAMPO;MESON, 3;21870;ESCACENA DEL CAMPO;HUELVA;959423282;;info@escacenadelcampo.es;www.escacenadelcampo.es;;;;;;
CONSTRUCCION CALERO ROMERO - ESCACENA DEL CAMPO;PATERNA, 2;21870;ESCACENA DEL CAMPO;HUELVA;959423117;;calero_romero@hotmail.com;;;;;;;
ITUCI - ESCACENA DEL CAMPO;REY JUAN CARLOS I, 48;21870;ESCACENA DEL CAMPO;HUELVA;959423228;;;;ELECTRODOMESTICOS;;;;;
FUNDACION HOGAR VIRGEN DEL PRADO - ESCACENA DEL CAMPO;SOR ÁNGELA DE LA CRUZ, 2;21870;ESCACENA DEL CAMPO;HUELVA;959423110;;;;TERCERA EDAD ;;;;;
SERRANO CALERO FRANCISCO JAVIER;CALLE HERMANOS ALVAREZ QUINTERO, 2;21890;MANZANILLA;HUELVA;959415097;;inforamos@terra.es;;ALIMENTACION;;;;;
JUAN CORRO GONZALEZ - MANZANILLA;CHUCENA, 8;21890;MANZANILLA;HUELVA;959415301;;;;CARPINTERIA METALICA;;;;;
JOSE LUIS GONZALEZ GARRIDO - MANZANILLA;DOMÍNGUEZ GARRIDO, 17;21890;MANZANILLA;HUELVA;959415245;;;;FERRETERIAS ;;;;;
