Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
DECO OFI MONTECARMELO, 8  ;CALLE MONTE CARMELO, 8;41...;SEVILLA;SEVILLA;954277224;;decoofi@decoofi.com;www.decoofi.com;;;;;;
BAZAR JUVENIL MONZON, 30  ;CALLE MONZON, 30;41...;SEVILLA;SEVILLA;954614717;;bazarjuvenil@terra.es;;;;;;;
ARCAS MOTOS NUESTRA SEÑORA DEL PILAR, 3  ;CALLE NUESTRA SEÑORA DEL PILAR, 3;41...;SEVILLA;SEVILLA;954233737;;arcas@arcas.biz;www.arcas.biz;;;;;;
CRISMALU AUTO OCHO MARZO, 41  ;CALLE OCHO DE MARZO, 41;41...;SEVILLA;SEVILLA;954932343;;crismalauto@hotmail.com;;AUTOMOVIL;;;;;
JMOL INFORMATICA S.L. PADRE CAMPELO, 6  ;CALLE PADRE CAMPELO, 6;41...;SEVILLA;SEVILLA;954096900;;comercial@jmol.es;www.jmol.es;INFORMATICA/TELEFONIA;;;;;
DOCENTESS PADRE DAMIAN, 5  ;CALLE PADRE DAMIAN, 5;41...;SEVILLA;SEVILLA;954277694;;docentess@telefonica.net;;;;;;;
MOTORAPID PADRE PEDRO AYALA, 9  ;CALLE PADRE PEDRO AYALA, 9;41...;SEVILLA;SEVILLA;954576066;;rcmotors@ejarsoft.com;;AUTOMOVIL;;;;;
EXPISA SEVILLA PAGES DEL CORRO, 43  ;CALLE PAGES DEL CORRO, 43;41...;SEVILLA;SEVILLA;954331300;;expisa@telefonica.net;www.expisa.com;CONSTRUCCION;;;;;
BUFETE CASTRO MUÑOZ PROGRESO, 29 - 1º A  ;CALLE PROGRESO, 29;41...;SEVILLA;SEVILLA;954233075;;administracion@bufetecastromunoz.es;;SERV. JURIDICOS;;;;;
GRUPO HISPALENSE DE CREDITO RAFAEL CANTARERO, 3  ;CALLE RAFAEL CANTARERO, 3;41...;SEVILLA;SEVILLA;954920223;;info@geinsatelecom.com;www.geinsatelecom.com;INFORMATICA/TELEFONIA;;;;;
JOYERIA NAVARRO S.L. RELATOR, 40  ;CALLE RELATOR, 40;41...;SEVILLA;SEVILLA;954378445;;info@joyerianavarro.com;www.joyerianavarro.com;;;;;;
DETECTIVES WALKER'S ROJAS ZORRILLA, 18 (ZONA CRUZCAMPO  ;CALLE ROJAS ZORRILLA, 18;41...;SEVILLA;SEVILLA;954579407;;info@walkersdetectives.com;www.walkersdetectives.com;;;;;;
TECNIPRACT ESCUELA DE DISEÑO SAN ALONSO DE OROZCO, 5 - 1º C  ;CALLE SAN ALONSO DE OROZCO, 5;41...;SEVILLA;SEVILLA;954413807;;tecnipract@eresmas.com;;;;;;;
SEAUIRIS SERVICIOS EXPERTOS DE ASESORAMIENTO VENTURA DE LA VEGA, 2 BAJO DCHA.  ;CALLE SAN IGNACIO, 7;41...;SEVILLA;SEVILLA;954581800;;seaiuris@telefonica.net;;SERV. JURIDICOS;;;;;
CENTRO DE INTEGRACION DE SORDOS OYENTES BEATRIZ DE SUABIA, 22  ;CALLE SAN RAFAEL, 11;41...;SEVILLA;SEVILLA;954578661;;ciso@supercable.es;;;;;;;
ARJONA FOTOGRAFIA SANTA MARIA LA BLANCA, 10  ;CALLE SANTA MARIA LA BLANCA, 10;41...;SEVILLA;SEVILLA;954421959;;fotoarjona@telefonica.net;;;;;;;
CARLOS I SANTO DOMINGO DE LA CALZADA, 14-16  ;CALLE SANTO DOMINGO DE LA CALZADA, 14;41...;SEVILLA;SEVILLA;954422401;;carlossexshop1@hotmail.com;;;;;;;
CENTRO ANDALUZ DE ESTUDIOS Y ENTRENAMIENTO JUAN SEBASTIAN EL CANO, 23 - A  ;CALLE SEBASTIAN ELCANO, 23;41...;SEVILLA;SEVILLA;954277391;;sevilla@centroandaluz.com;;;;;;;
EL CRONOMETRO ROLEX OMEGA  ;CALLE SIERPES, 19;41...;SEVILLA;SEVILLA;954225028;;elcronometro@netscape.net;www.elcronometro.com;;;;;;
JOYERIA MICAELA PEREZ EL SILENCIO, 8 - LOCAL  ;CALLE SILENCIO (EL), 8;41...;SEVILLA;SEVILLA;954502539;;micaelaperez@wanadoo.es;;;;;;;
CENTRO DEL DESCANSO NERVION SINAI, 16  ;CALLE SINAI, 16;41...;SEVILLA;SEVILLA;954583905;;centrodeldescanso@hotmail.com;;;;;;;
FEDERACION ANDALUZA CINE-CLUBS SOL, 86  ;CALLE SOL, 86;41...;SEVILLA;SEVILLA;954417076;;cadic@ctv.es;;;;;;;
CLINICA DENTAL JULIO TORREJON TEODOSIO, 83 - BAJO - 2º A;CALLE TEODOSIO, 83;41...;SEVILLA;SEVILLA;34954382335;;jutoru@terra.es;;SALUD;;;;;
FLORISTERIA RAFAEL VENTURA DE LA VEGA, 1  ;CALLE VENTURA DE LA VEGA, 1;41...;SEVILLA;SEVILLA;954638660;;rafael@interflora.es;;;;;;;
ALMONEDA VERMONDO RESTA, 4 - ACCESORIA 4  ;CALLE VERMONDO RESTA, S/N;41...;SEVILLA;SEVILLA;954652676;;groediger@ya.com;;;;;;;
INVESTIGACION Y ESTUDIOS DE MERCADO  ;CALLE VIRGEN DE LUJAN, 16;41...;SEVILLA;SEVILLA;954276679;;arcosur@supercable.es;;;;;;;
AUTOESCUELA LEONESA TELEFONO  ;CALLE VIRGEN DE LUJAN, 23;41...;SEVILLA;SEVILLA;954459288;;leonesa@formaster.org;;;;;;;
ASESORIA DE EMPRESA GUIA S.L. VIRGEN DE REGLA, 1 - PASAJE, 4ª PLTA.  ;CALLE VIRGEN DE REGLA, 1;41...;SEVILLA;SEVILLA;954270703;;asesoria@guiasl.es;;;;;;;
REGALOS EL TURIA VIRGEN DEL VALLE, 69 (LOS REMEDIOS  ;CALLE VIRGEN DEL VALLE, 69;41...;SEVILLA;SEVILLA;954270862;;regaloselturia@supercable.es;;;;;;;
CONSULTORES Y MEDIADORES DE SEGUROS CARDENAL CISNEROS, 2 - 1º A  ;CARDENAL CISNEROS, 2;41...;SEVILLA;SEVILLA;954383040;;cymdssl@telefonica.net;;;;;;;
SEVILLAPRINT LIENZO, 4 - POLIGONO INDUSTRIAL HYTASA  ;LIENZO (POL IND HYTASA), 4;41...;SEVILLA;SEVILLA;954934055;;produccion@sevillaprint.com;;;;;;;
TODO FLAMENCO MATEMATICOS REY PASTOR Y CASTRO, S/N.;MTCOS REY PASTOR Y CASTRO S/N;41...;SEVILLA;SEVILLA; 954461328;;vebeka@antiqueteatro.com;;;;;;;
FUNREY C.B. POL. STORE - C/ B, NAVE 14 - 6  ;NIVEL (P I STORE), 14;41...;SEVILLA;SEVILLA;954366060;;funrey@funrey.com;www.funrey.com;;;;;;
SURF PLANET  ;PASEO DELICIAS (LAS), 5;41...;SEVILLA;SEVILLA;954222976;;surfplane@bbvnet.com;;TEXTIL;;;;;
BANG & OLUFSEN C.C. PLAZA DE ARMAS;PL. ARMAS S/N;41...;SEVILLA;SEVILLA; 954906771;;frs@bang-oluften-sevilla.com;;;;;;;
CASTRO ADMINISTRACIONES PZA. DE GODINEZ, 4  ;PL. GODINES, 4;41...;SEVILLA;SEVILLA;954216141;;castro@arrakis.es;;;;;;;
ASESORIA MANUEL MARTIN PLAZA ACOGIDA, 2  ;PLAZA ACOGIDA (LA), 2;41...;SEVILLA;SEVILLA;954254561;;matrinasesoria@supercable.es;;;;;;;
CENTRO CAPILAR DAMER GRAN PLAZA, 1 - 2º A  ;PLAZA GRAN PLAZA, 1;41...;SEVILLA;SEVILLA;954657211;;damer@theoffice.net;www.dameronline.com;;;;;;
ANTIGUEDADES EL MUSEO PLAZA DEL MUSEO, 4  ;PLAZA MUSEO, 4;41...;SEVILLA;SEVILLA;954560128;;elmuseo@compraventa.es;;;;;;;
CARITAS DIOCESANA  ;PLAZA SAN MARTIN DE PORRES, S/N;41...;SEVILLA;SEVILLA;954347184;;cdsevilla@caritas-espa.org;;;;;;;
ALUMINIOS CRISTALCOLOR POL. IND. EL PINO, PARCELA 9A - NAVE 30                  ;POL IND EL PINO S/N;41...;SEVILLA;SEVILLA; 954520044;;cristalcolor@hotmail.com;;CONSTRUCCION;;;;;
FRIO MORON PINO AMPUDIO, 5 - POL. IND. EL PINO  ;POL IND EL PINO, S/N;41...;SEVILLA;SEVILLA;954514161;;friomoron@supercable.es;;HOSTELERIA Y RESTAURACION;;;;;
PLASTICOS ANDALUCIA POL. IND. EL REFUGIO, 28  ;POL IND EL REFUGIO, S/N;41...;SEVILLA;SEVILLA;954650606;;jbmontano@supercable.es;;;;;;;
DETECTIVES ACME TELEFONO:  ;SIETE REVUELTAS, S/N;41...;SEVILLA;SEVILLA;902321333;;acme@spa.es;www.acme-detectives.com;;;;;;
ARCHIVO GENERAL DE INDIAS AVDA. CONSTITUCION, S/N.  ;SIETE REVUELTAS, S/N;41...;SEVILLA;SEVILLA;954500528;;agi1@cult.mec.es;;;;;;;
