Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
PLAZA DE LA CONSTITUCION 1;21003;HUELVA HUELVA ES21003 - SPAIN;HUELVA;34959284114;;administracion@psoehuelvo.com;;INFORMATICA/TELEFONIA;;;;;;
CALLE PADRE MARCHENA, 15 (LATERAL CASA COLON) ;;HUELVA - HUELVA;HUELVA;959101037;959823205;ortodonciapedrovazquez@odontonet.com;;SALUD;;;;;;
SOR PAULA ALZOLA. 20 3 IZQ;21002;HUELVA ;HUELVA;34608302115;;moncef@teleline.es;;;;;;;;
A. GARAY ANDUAGA,†20                                                            ;21004;HUELVA;HUELVA;†959242966;;scolombina.3065@cajarural.com;;;;;;;;
A. OJEDA (P I PESQUERO NORTE),†5                                                ;21002;HUELVA;HUELVA;†959284717;;puntanaval@terra.es;;AUTOMOVIL;;;;;;
A. S-HUELVA, KM. 0630,0;;HUELVA;HUELVA;959220338;;info@apeh.org;;SERV. JURIDICOS;;;;;;
AMADO DE L¡ZARO, 2;21002;HUELVA;HUELVA;959540147;;oficina@rodriba.com;;INMOBILIARIAS;;;;;;
AMADO DE L¡ZARO, 2;21002;HUELVA;HUELVA;959540147;;oficina@rodriba.com;www.rodriba.com;;;;;;;
ANDALUCIA 1;21003;HUELVA;HUELVA;661963089;;info@accioncreativa.es;www.accioncreativa.es;PUBLICIDAD ;;;;;;
ANDALUCIA 20;21100;HUELVA;HUELVA;651601269;;;;ELECTRICISTAS;;;;;;
AV CARLOS HAYA 93;29010;HUELVA;HUELVA;952301150;952308051;cormo-sa@canal-auto.es;;;;;;;;
AV ESCULTORA MISS WHITNEY 45;21003;HUELVA;HUELVA;959271452;959271860;;;AGENCIAS DE VIAJES;;;;;;
AV F MOLINA,†10                                                                 ;21006;HUELVA;HUELVA;†959270395;;igs@sostball.com;;CONSTRUCCION;;;;;;
AV F MOLINA,†94                                                                 ;21006;HUELVA;HUELVA;†959271642;;laltracucina@laltracucina.e.telefonica.net;;;;;;;;
AV HISPANOAMERICA 14 FRIGORIFICOS CRUSTAMAR;21001;HUELVA;HUELVA;959245672;959245672;diez@arrakis.es;;DISTRIBUCI”N DE PETR”LEO Y DERIVADOS;;;;;;
AV HISPANOAMERICA 14 FRIGORIFICOS CRUSTAMAR;21001;HUELVA;HUELVA;959245672;959245672;diez@arrakis.es;;ALIMENTACION;;;;;;
AV MEXICO 27 Y;21001;HUELVA;HUELVA;959262300;959263321;;;MAYORISTA DE PESCADOS Y MARISCOS ;;;;;;
