Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
TABLEROS SEVILLA, S.L.;A, 32 Y 29 POL. IND. NAVISA;41006;SEVILLA;SEVILLA;954649473;954634877;tsevillasl@tpi.infomail.es;;AGENCIAS DE ADUANA;;;;;
TABLEROS SEVILLA, S.L.;A, 32 Y 29 POL. IND. NAVISA;41006;SEVILLA;SEVILLA;954649473;954634877;tsevillasl@tpi.infomail.es;;CONSTRUCCION;;;;;
CASASAGRADOSCORAZONESDEHERMANASFRANCISCAN-SEVILLA;AFÁN (SAN JOSÉ DE PALMETE), S/N;41006;SEVILLA;SEVILLA;954250919;;;;TERCERA EDAD ;;;;;
JOYERÍA-RELOJERÍA ROMAN;AFAN DE RIBERA 249;41006;SEVILLA;SEVILLA;954656041;;info@joyeriarelojeriaroman.com;www.joyeriarelojeriaroman.com;JOYERIAS;;;;;
LIENZO Y PINZEL - SEVILLA;AFÁN DE RIBERA, 102;41006;SEVILLA;SEVILLA;954658527;;;;CUADROSYREPRODUCCIONESARTISTICAS:ESTABLECIMIENTOS;;;;;
INTECO INGENIERIA Y TECNICAS DE LA CONSTRUCCION - SEVILLA;AFAN DE RIBERA, 109;41006;SEVILLA;SEVILLA;954647607;;inteco.sevilla@telefonica.net;;;;;;;
INTECOINGENIERIAYTECNICASDELACONSTRUCCION-SEVILLA;AFÁN DE RIBERA, 109;41006;SEVILLA;SEVILLA;954647607;;inteco.sevilla@telefonica.net;;INGENIERIA ;;;;;
MATIAS LEBRON S.L. - SEVILLA;AFÁN DE RIBERA, 109;41006;SEVILLA;SEVILLA;954660478;;;;CONTROLAPARATOS:DISTRIBUCION;;;;;
EL JAMON - SEVILLA;AFÁN DE RIBERA, 111;41006;SEVILLA;SEVILLA;954933673;;;www.hsoft.es;SUPERMERCADOS:PEQUEÑASSUPERFICIES;;;;;
LUIS VELA - SEVILLA;AFÁN DE RIBERA, 117;41006;SEVILLA;SEVILLA;954661625;;ortopeda@hotmail.com;;ORTOPEDIAS;;;;;
IMAGINASPORTS.L.-SEVILLA;AFÁN DE RIBERA, 131;41006;SEVILLA;SEVILLA;954926104;;;;SERVICIOS INDUSTRIALES;;;;;
LA CAMELIA - SEVILLA;AFÁN DE RIBERA, 131;41006;SEVILLA;SEVILLA;954212243;;;;MERCERIAS:ESTABLECIMIENTOS;;;;;
CRISOL - SEVILLA;AFÁN DE RIBERA, 133;41006;SEVILLA;SEVILLA;954631857;;josetuvilla@hotmail.com;;LIBRERIAS;;;;;
CALZADOS MERCA - SEVILLA;AFÁN DE RIBERA, 135;41006;SEVILLA;SEVILLA;954636837;;;;CALZADODESEÑORAYCABALLERO:ESTABLECIMIENTOS;;;;;
ARCO IRIS - SEVILLA;AFÁN DE RIBERA, 138;41006;SEVILLA;SEVILLA;954647656;;;;PELUQUERIAARTICULOS:ESTABLECIMIENTOS;;;;;
ELECTRO CIEN - SEVILLA;AFÁN DE RIBERA, 140;41006;SEVILLA;SEVILLA;954630756;;electrocien@electrocien.com;;MATERIALESELECTRICOS:FABRICANTESYMAYORISTAS;;;;;
