Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
PEDRORAMIROPALOSSANCHEZ-SEVILLA;AV. MARQU…S DE PICKMAN, 15;41005;SEVILLA;SEVILLA;954932031;;info@anforaformacion.es;;SERVICIOS A EMPRESAS;;;;;
SEVILLA DIGITAL, S.L.L.;AV. MARQUES DEL NERVION, 57 B;41005;SEVILLA;SEVILLA;954934531;954934530;alvaroa.lorenzo@terra.es;;CONSTRUCCION;;;;;
SEVILLA DIGITAL, S.L.L.;AV. MARQU…S DEL NERVI”N, 57 B;41005;SEVILLA;SEVILLA;954934531;954934530;alvaroa.lorenzo@terra.es;;CONSTRUCCIONES NAVALES Y FLUVIALES;;;;;
PEREZ†CURIEL†RUBEN;AV. R. Y CAJAL,†25                                                              ;41005;SEVILLA;SEVILLA;†954643892;;axemovil@hotmail.com;;;;;;;
EXPENDEDURIA NUMERO 142 - SEVILLA;AV. RAM”N Y CAJAL, 10;41005;SEVILLA;SEVILLA;954633746;;;;ESTANCOS;;;;;
LEONARDOFABREGALISTEO-SEVILLA;AV. RAM”N Y CAJAL, 102;41005;SEVILLA;SEVILLA;954923662;;;;FISIOTERAPEUTA;;;;;
LIBRERIA MUSICOMANIA SUR - SEVILLA;AV. RAM”N Y CAJAL, 124;41005;SEVILLA;SEVILLA;954920345;;musicomaniasur@telefonica.net;;LIBRERIASESPECIALIZADASENMUSICA;;;;;
LEBRON PELUQUEROS S.L. - SEVILLA;AV. RAM”N Y CAJAL, 13;41005;SEVILLA;SEVILLA;954636075;;;;PELUQUERIAARTICULOS:ESTABLECIMIENTOS;;;;;
ESTILO 81 - SEVILLA;AV. RAM”N Y CAJAL, 15;41005;SEVILLA;SEVILLA;954637344;;;;MUEBLESDECOCINA:ESTABLECIMIENTOS;;;;;
ECOLIDER NERVION S.L. - SEVILLA;AV. RAM”N Y CAJAL, 17;41005;SEVILLA;SEVILLA;954639149;;;;INFORMATICA:EQUIPOSYMATERIALES;;;;;
ADRIANO VIAJES - SEVILLA;AV. RAM”N Y CAJAL, 18;41005;SEVILLA;SEVILLA;954703259;;;;AGENCIAS DE VIAJES ;;;;;
HEISTEL TELECOMUNICACIONES - SEVILLA;AV. RAM”N Y CAJAL, 19;41005;SEVILLA;SEVILLA;954934727;;heistel@supercable.es;;TELECOMUNICACION:SERVICIOS;;;;;
AUTOESCUELAELFARO-SEVILLA;AV. RAM”N Y CAJAL, 19;41005;SEVILLA;SEVILLA;954660359;;;;AUTOESCUELAS;;;;;
RAMONYCAJALCENTROOPTICO-SEVILLA;AV. RAM”N Y CAJAL, 25;41005;SEVILLA;SEVILLA;954096498;;;;ALIMENTACÕON;;;;;
INFODESA S.A. - SEVILLA;AV. RAM”N Y CAJAL, 31;41005;SEVILLA;SEVILLA;954657518;;;www.infodesa.com;INFORMATICA:SERVICIOSAEMPRESAS;;;;;
BERAGUACONSULTORESS.L.-SEVILLA;AV. RAM”N Y CAJAL, 37;41005;SEVILLA;SEVILLA;954705158;;;;SERVICIOS A EMPRESAS;;;;;
XPERTOSASESORAMIENTOINTEGRALS.L.-SEVILLA;AV. RAM”N Y CAJAL, 47;41005;SEVILLA;SEVILLA;954648022;;;;SERVICIOS A EMPRESAS;;;;;
MACOR TOURS S.L.;AV. RAMON Y CAJAL, 5;41005;SEVILLA;SEVILLA;954932458;;info@saraviatours.com;www.saraviatours.com;TURISMO;;;;;
VIAGUADOS.A.-SEVILLA;AV. RAM”N Y CAJAL, 5;41005;SEVILLA;SEVILLA;954644500;;viaguado@infonegocio.com;;AGRICULTURA ;;;;;
EXPLOTACION OXONA - SEVILLA;AV. RAM”N Y CAJAL, 5;41005;SEVILLA;SEVILLA;954924364;;administracion@oxonasl.com;;CEREALES:PRODUCCION;;;;;
APP INFORMATICA - SEVILLA;AV. RAM”N Y CAJAL, 7;41005;SEVILLA;SEVILLA;954096005;;;www.appinformatica.com;INFORMATICA:INSTALACIONYMANTENIMIENTO;;;;;
OCRE - SEVILLA;AV. RAM”N Y CAJAL, 74;41005;SEVILLA;SEVILLA;954638072;;;;TIENDASDEROPADESE—ORA;;;;;
DECORACIONESELGUARDARROPAS,SL-SEVILLA;AV. RAM”N Y CAJAL, 88;41005;SEVILLA;SEVILLA;954642999;;;;CARPINTERIA METALICA;;;;;
QUIQUECICLE - SEVILLA;AV. RAMON Y CAJAL, 9;41005;SEVILLA;SEVILLA;954921781;;quiquecicle@quiquecicle.com;www.quiquecicle.com;;;;;;
SMA - SINDICATO MEDICO DE ANDALUCIA - SEVILLA;AV. RAMON Y CAJAL, 9;41005;SEVILLA;SEVILLA;954925676;;smandaluz@smandaluz.com;www.smandaluz.com;;;;;;
ARIASFERNANDEZ,R.-SEVILLA;AV. RAM”N Y CAJAL, 9;41005;SEVILLA;SEVILLA;954646340;;;;MEDICOS;;;;;
LA FLOR DE SIERRA - SEVILLA;AV. RAM”N Y CAJAL, 9;41005;SEVILLA;SEVILLA;954657501;;;;CARNICERIAS;;;;;
FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES;AV. RAMON Y CAJAL, S/N;41005;SEVILLA;SEVILLA;954557506;;ecojsec@pop.us.es;;;;;;;
NOVA INDES GRUPO INMOBILIARIO, S.A.;AV. SAN FRANCISCO JAVIER 24.EDIF. SEVILLA 1;41005;SEVILLA;SEVILLA;955046400;955046401;novaindes@retemail.es;;INMOBILIARIA;;;;;
BM - SEVILLA;AV. SAN FRANCISCO JAVIER, 0009;41005;SEVILLA;SEVILLA;954048443;;bm@auna.com;;INMOBILIARIA;;;;;
ANTOJOS-SEVILLA;AV. SAN FRANCISCO JAVIER, 1;41005;SEVILLA;SEVILLA;954650855;;;;ALIMENTACI”N;;;;;
ACEITES IBERICOS ACISA - SEVILLA;AV. SAN FRANCISCO JAVIER, 1;41005;SEVILLA;SEVILLA;954929492;;;;ACEITESYGRASASALIMENTICIAS:FABRICANTESYMAYORISTAS;;;;;
ALFASERVICESPAIN-SEVILLA;AV. SAN FRANCISCO JAVIER, 13;41005;SEVILLA;SEVILLA;954656225;;martadominguez@telefonica.net;;ORGANIZACION DE EVENTOS;;;;;
ALQUILERESBELLAVISTASA-SEVILLA;AV. SAN FRANCISCO JAVIER, 19;41005;SEVILLA;SEVILLA;954641236;;;;AGENCIA INMOBILIARIA;;;;;
