Empresa;Direcci³n;CP;Ciudad;Provincia;Telİfono;M³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
Huelva asistencial;;;;Huelva;959541496;;;;;;;;;
Ciberestudio servicios avanzados s.l.;;;;Huelva;609010518;;;;;;;;;
Suministros sierra sur sociedad cooperativa andaluza;;;;Huelva;955824429;;;;;;;;;
Asociacion industriales del corcho del suroeste. andalucia;;;;Huelva;959196404;;;;;;;;;
Biosbornemark s.l.;;;;Huelva;902510056;;;;;;;;;
Conservas jabugo s.l.;;;;Huelva;953680504;;;;;;;;;
Casta?era serrana sociedad cooperativa andaluza de 1 grado;;;;Huelva;959123168;;;;;;;;;
Antonio espa?a e hijos s.l.;;;;Huelva;959150366;;;;;;;;;
Antonio jose gonzalez s.l.;;;;Huelva;959197576;;;;;;;;;
Comercio exterior andaluz s.l.;;;;Huelva;959220629;;;;;;;;;
Albatros support services s.l.;;;;Huelva;959243754;;;;;;;;;
Comercial electrica onubense s.a.;;;;Huelva;959248622;;;;;;;;;
Angelfrutas espa?a export import s.l.;;;;Huelva;959263213;;;;;;;;;
Astilleros de huelva s.a.;;;;Huelva;959280977;;;;;;;;;
Altum ingenieria y servicios s.l.;;;;Huelva;959283295;;;;;;;;;
Asenova s.l.;;;;Huelva;959284668;;;;;;;;;
Alconeras sociedad cooperativa andaluza;;;;Huelva;959371822;;;;;;;;;
Agrofresas s.a.;;;;Huelva;959372443;;;;;;;;;
Andevalo frutas sociedad cooperativa andaluza;;;;Huelva;959387914;;;;;;;;;
Bodega privilegio del condado s.l.;;;;Huelva;959410261;;;;;;;;;
Centro livio s.l. unipersonal;;;;Huelva;959411538;;;;;;;;;
Aromas y sabores de do?ana s.l.;;;;Huelva;959417434;;;;;;;;;
Agroecologia do?ana s.l.;;;;Huelva;959450656;;;;;;;;;
Ayapunt s.a.;;;;Huelva;959470018;;;;;;;;;
Centro integral agroalimentario s.l.;;;;Huelva;959521495;;;;;;;;;
Centro de asistencia tecnica e inspeccion del comercio exterior de huelva;;;;Huelva;959541477;;;;;;;;;
Calzados arrayas s.l.;;;;Huelva;959550511;;;;;;;;;
Calzados valverde sc;;;;Huelva;959550872;;;;;;;;;
Cia de inversiones y transformaciones agricolas s.a.;;;;Huelva;959552500;;;;;;;;;
Ayuntamiento de valverde;;;;Huelva;959555824;;;;;;;;;
Almoradux s.l.;;;;Huelva;959555843;;;;;;;;;
Cocinas la gravera s.l.;;;;Huelva;959649005;;;;;;;;;
Aceites mavier s.l.;;;;Huelva;959810083;;;;;;;;;
Jamones la joya jabugo s.l.;;;;Huelva;959122666;;;;;;;;;
Manuel romero delgado s.l.;;;;Huelva;959124445;;;;;;;;;
Jandevalo s.l.;;;;Huelva;959385304;;;;;;;;;
Bahia san kristobal s.l.;;;;Cadiz;956877101;;;;;;;;;
