Empresa;Dirección;CP;Ciudad;Provincia;Teléfono;Móvil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
LISER SERVICIOS;;41012;;SEVILLA;954241844;3;;;;;;;;
BUFETE BULETO DELGADO;;41012;;SEVILLA;955641117;5;;;;;;;;
HERMANOS RUS RUFINO SL;;41012;;SEVILLA;954240126;2;;;;;;;;
JOAQUIN BARQUIN FERNANDEZ DE PEnARANDA;;41012;;SEVILLA;954612450;9;;;;;;;;
ENRIQUE CARRASCO SAINZ (CLINICA CARRASCO);;41012;;SEVILLA;954231944;4;;;;;;;;
BUFETE BULETO DELGADO;;41012;;SEVILLA;955641117;9;;;;;;;;
IMEIYO;;41012;;SEVILLA;629470404;0;;;;;;;;
JOAQUIN BARQUIN FERNANDEZ DE PEÑARANDA;;41012;;SEVILLA;954612450;6;;;;;;;;
RUBENOR ALARIFE S.L;;41012;;SEVILLA;954475295;10;;;;;;;;
JOSE ANTONIO RODRIGUEZ MATA( NEUMATICOS RAZA);;41012;;SEVILLA;954626712;3;;;;;;;;
MACPHERSON CONSULTORES SL;;41012;;SEVILLA;954274724;15;;;;;;;;
ASOCIACION FEDA;;41012;;SEVILLA;954612100;3;;;;;;;;
CLINICA CARRASCO CORPOLINE SL;;41012;;SEVILLA;954231944;9;;;;;;;;
(R)FEDERICO ALVAREZ REMENTERIA;;41012;;SEVILLA;954627419;4;;;;;;;;
SEVILLA SUPLLIERS SL;;41012;;SEVILLA;954610978;4;;;;;;;;
ASUR PUBLICIDAD;;41013;;SEVILLA;954614343;15;;;;;;;;
AUTOCENTRO MACAYDO SL;;41013;;SEVILLA;637397640;2;;;;;;;;
LA PALMERA 57 S.L.;;41013;;SEVILLA;954238560;12;;;;;;;;
ESTUDIOS EL PLANTINAR SL;;41013;;SEVILLA;954623763;7;;;;;;;;
JUAN I HERRERO FERNANDEZ SL;;41013;;SEVILLA;954222754;5;;;;;;;;
JESUS VALIENTE GOMEZ;;41013;;SEVILLA;954611276;4;;;;;;;;
ANTONIA CASADO LINARES;;41013;;SEVILLA;954231696;3;;;;;;;;
SINGULAR ONE SL;;41013;;SEVILLA;954414420/637732021;15;;;;;;;;
CEOIM SL;;41013;;SEVILLA;954 23 88 45;5;;;;;;;;
RECAMBIOS BELLAVISTA SL;;41014;;SEVILLA;954680111;3;;;;;;;;
JOSE ANTONIO CASTILLA RUIZ;;41014;;SEVILLA;954690266;2;;;;;;;;
MANUEL SEDEÑO - CENTRO VETERINARIO VISTABELLA;;41014;;SEVILLA;665687847;3;;;;;;;;
CLUB TENIS PITAMO BELLAVISA S.L.;;41014;;SEVILLA;954690876;4;;;;;;;;
DIETISUR SL;;41014;;SEVILLA;954692158 EXT.1-2;11;;;;;;;;
(R)PEDRO MIGUEL CASTRO CONTRERAS;;41014;;SEVILLA;954680111;6;;;;;;;;
ANTONIO LEIVA DIAZ;;41014;;SEVILLA;954691091;4;;;;;;;;
