Empresa;Direcci³n;CP;Ciudad;Provincia;Telİfono;M³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
ALEJANDRO TALLERES      ;;;;HUELVA;959290300;;;;;;;;;
ALEJO DELGADO AGENCIA DE SEG.VINCULADA SL;;;;HUELVA;959245549;;;;;;;;;
ALEMANY & IGLESIAS ACADEMIA      ;;;;HUELVA;959286323;;;;;;;;;
ALENTIS SERVICIOS INTEGRALES S.L.U.;;;;HUELVA;959235537;;;;;;;;;
ALEX HUELVA S.L.;;;;HUELVA;959242593;;;;;;;;;
ALEX HUELVA S.L.;;;;HUELVA;959520009;;;;;;;;;
ALFA ISLANTILLA S.L;;;;HUELVA;959486722;;;;;;;;;
ALFA NOVENTA      ;;;;HUELVA;959251074;;;;;;;;;
ALFAGEME ORTELLS JOSEFINA;;;;HUELVA;959540229;;;;;;;;;
ALFARERIA DAVID      ;;;;HUELVA;959308673;;;;;;;;;
ALFARO CARRASCO S.L.;;;;HUELVA;959397001;;;;;;;;;
ALFARO MEZQUITA, VICENTE;;;;HUELVA;959253235;;;;;;;;;
ALFARO VIVEROS;;;;HUELVA;607882488;;;;;;;;;
ALFASENAL SL;;;;HUELVA;959401226;;;;;;;;;
ALFILLANCA;;;;HUELVA;628366391;;;;;;;;;
ALFONSECA S.L.;;;;HUELVA;959343330;;;;;;;;;
ALFONSO FERNANDEZ ABTELSELAM      ;;;;HUELVA;959280637;;;;;;;;;
ALFONSO ORTEGA, JORGE;;;;HUELVA;653381773;;;;;;;;;
ALFRUT      ;;;;HUELVA;959384618;;;;;;;;;
ALGAIDA INGENIEROS      ;;;;HUELVA;959263330;;;;;;;;;
ALGRY QUIMICA S.L.;;;;HUELVA;959369900;;;;;;;;;
ALGRY QUIMICA S.L. POL. IND. NUEVO PUERTO - C/ A, PARC. 3;;;;HUELVA;959369900;;;;;;;;;
ALJASUR      ;;;;HUELVA;959229844;;;;;;;;;
ALKALY;;;;HUELVA;959553681;;;;;;;;;
ALLIANCE HEALTHCARE S.A.;;;;HUELVA;959367657;;;;;;;;;
ALMA NATURA      ;;;;HUELVA;959197729;;;;;;;;;
ALMACEN DE ESCAYOLAS LA ORDEN ALTA;;;;HUELVA;959150507;;;;;;;;;
ALMACENES HIGUERA S.L.      ;;;;HUELVA;959195001;;;;;;;;;
ALMACENES LLERA S.L.;;;;HUELVA;959245167;;;;;;;;;
ALMACENES PAEZ S.L.;;;;HUELVA;959357709;;;;;;;;;
ALMACENES SAN BLAS;;;;HUELVA;959126336;;;;;;;;;
ALMASOL INGIENERIA ENERGETICA C.B.      ;;;;HUELVA;959258629;;;;;;;;;
ALMENARA INFORMÃTICA;;;;HUELVA;959311520;;;;;;;;;
ALMENARA INFORMATICA S.L.;;;;HUELVA;959311520;;;;;;;;;
ALMONTE,AYUNTAMIENTODE;;;;HUELVA;959450616;;;;;;;;;
ALMORADUX, S.L.;;;;HUELVA;959555843;;;;;;;;;
ALO SONIDO;;;;HUELVA;685742744;;;;;;;;;
ALO STORE;;;;HUELVA;607445413;;;;;;;;;
ALOJAMIENTO DOÑANA RURAL;;;;HUELVA;655345552;;;;;;;;;
ALOJAMIENTO RURAL VILLA CINTA      ;;;;HUELVA;959131522;;;;;;;;;
ALOJAMIENTOS ROCIO DOÑA ANA S.L.;;;;HUELVA;959442435;;;;;;;;;
ALOJAMIENTOS RURALES WAINGUNGA      ;;;;HUELVA;959504049;;;;;;;;;
ALONSO REDONDO JUAN LUIS;;;;HUELVA;959331920;;;;;;;;;
ALP CONSULTORIA INFORMATICA;;;;HUELVA;959319295;;;;;;;;;
ALPE SERVICIOS INFORMATICOS      ;;;;HUELVA;959229803;;;;;;;;;
ALPE SERVICIOS PUBLICITARIOS      ;;;;HUELVA;959229803;;;;;;;;;
ALQUILER DE MAQUINARIA TARTESSOS;;;;HUELVA;637729241;;;;;;;;;
ALQUILER DE MAQUINARIAS DANIEL BAEZ S.L.      ;;;;HUELVA;959531207;;;;;;;;;
ALQUILER DE TRACTORES Y CUBA;;;;HUELVA;959356385;;;;;;;;;
ALQUILERES DABERO      ;;;;HUELVA;649969840;;;;;;;;;
ALQUIVIR;;;;HUELVA;959440501;;;;;;;;;
ALTA GESTION EMPRESA DE TRABAJO TEMPORAL S.A.      ;;;;HUELVA;902464850;;;;;;;;;
ALTUM INGENIERIA Y SERVICIOS, S.L.;;;;HUELVA;959283295;;;;;;;;;
ALUCRISVEN;;;;HUELVA;959252701;;;;;;;;;
ALUMINIOS DANRISUR      ;;;;HUELVA;691421505;;;;;;;;;
ALUMINIOS EL CONQUERO;;;;HUELVA;695266319;;;;;;;;;
ALUMINIOS ISIDRO POL. CANTALGALLO - ZI3 - C/ A, NAVE 24 B;;;;HUELVA;959127923;;;;;;;;;
ALVAREZ BARAHONA JOSEFA;;;;HUELVA;959256901;;;;;;;;;
ALVAREZ BELTRAN      ;;;;HUELVA;959234007;;;;;;;;;
ALVAREZ CABRERA, S.L.U.;;;;HUELVA;959234651;;;;;;;;;
ALVAREZ CHECA, ALFONSO;;;;HUELVA;959261365;;;;;;;;;
ALVAREZ CHECA, JOSE;;;;HUELVA;959248035;;;;;;;;;
ALVAREZ CONCEPCION NICOLAS;;;;HUELVA;959332162;;;;;;;;;
ALVAREZ FERIA JOSEFA;;;;HUELVA;959257800;;;;;;;;;
ALVAREZ GALLARDO, EULALIA;;;;HUELVA;959408410;;;;;;;;;
ALVAREZ LOPEZ CRISTINA;;;;HUELVA;959312876;;;;;;;;;
ALYAMAMA      ;;;;HUELVA;959816981;;;;;;;;;
AM ABOGADOS ;;;;HUELVA;606867737;;;;;;;;;
AM HUELVA      ;;;;HUELVA;959541604;;;;;;;;;
AMADEUS SOLUCIONES TECNOLOGICAS S.A.;;;;HUELVA;959580719;;;;;;;;;
AMADIS ACADEMIA DE PELUQUERIA Y ESTETICA;;;;HUELVA;959262619;;;;;;;;;
AMADOR MORALES ANTONIO MANUEL;;;;HUELVA;959384222;;;;;;;;;
AMATURA ROMA S.L.;;;;HUELVA;959128485;;;;;;;;;
AMATURA ROMA S.L.U.;;;;HUELVA;959128485;;;;;;;;;
AMAZAN SERVICIOS SANITARIOS S.L.;;;;HUELVA;959540612;;;;;;;;;
AMBULANCIAS DAVID      ;;;;HUELVA;644299833;;;;;;;;;
AMBULANCIAS LA CINTA POL. TARTESSOS - C/ C - NAVE 95;;;;HUELVA;959367369;;;;;;;;;
AMIAN AZCOITIA, IÑIGO;;;;HUELVA;959126257;;;;;;;;;
AMT ALQUILER DE MAQUINARIA TARTESSOS;;;;HUELVA;959367172;;;;;;;;;
ANA GOMEZ AVILES ;;;;HUELVA;977317728;;;;;;;;;
ANA ISABEL BURGUILLOS PEÑA      ;;;;HUELVA;652208527;;;;;;;;;
ANALISIS M.LEDESMA      ;;;;HUELVA;959226322;;;;;;;;;
ANAQUELES;;;;HUELVA;645881102;;;;;;;;;
ANBEL ZONE      ;;;;HUELVA;959340317;;;;;;;;;
ANCICAR S.L.      ;;;;HUELVA;691118946;;;;;;;;;
ANDALUCIA MARINA      ;;;;HUELVA;605973946;;;;;;;;;
ANDALUSIAN PROPERTY HOUSE S.L.      ;;;;HUELVA;959521298;;;;;;;;;
ANDALUZA DE SERVICIOS DE MENSAJERIA S.L.;;;;HUELVA;959220286;;;;;;;;;
ANDALUZA DE SUPERMERCADOS HERMANOS MARTIN S.L.;;;;HUELVA;959251237;;;;;;;;;
ANDIDECORACION SCA;;;;HUELVA;959331890;;;;;;;;;
ANDREA FERNANDEZ FERNANDEZ;;;;HUELVA;654086694;;;;;;;;;
