Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
ALCONERAS SOCIEDAD COOPERATIVA ANDALUZA;C/ ANDALUCIA 10 ;21800;MOGUER;HUELVA;()959371822;959372516;josemaria.garrido@alconeras.com;www.alconeras.com;;;;;;
AGROFRESAS, S.A.;C/ E PARC 49-50 PLGO IND ALGARROBITO ;21800;MOGUER;HUELVA;()959372443;959371902;gerencia@agrofresas.com;www.agrofresas.com;INMOBILIARIA;;;;;
CASTILLO DE SANTO DOMINGO;C/ SANTO DOMINGO, 16;21800;MOGUER;HUELVA;959370724;959372022;info@castillosantodomingo.com;;;;;;;
BROKER DE SERVICIOS NAUTICOS;AV. CONQUISTADORES, S/N;21800;MAZAGON, MOGUER;HUELVA;959376810;;comercial@brokerservice.es;www.brokermazagon.com;;;;;;
GRUAS DOÑANA - ALMONTE;ALBERCA, 51;21730;ALMONTE;HUELVA;600505029;;;;SERVICIOS INDUSTRIALES;;;;;
MANCOMUNID.DESARROLLO SOCIECONOMICO CONDADO HUELVA;ALONSO PEREZ, 1;21730;ALMONTE;HUELVA;959450616;959451834;marilomojarro@hotmail.com;;;;;;;
APROINDO - ALMONTE;ALTOZANO, 8;21730;ALMONTE;HUELVA;959450691;;aproindo@terra.es;;SERVICIOS INDUSTRIALES;;;;;
APROINDO - ALMONTE;ALTOZANO, 8;21730;ALMONTE;HUELVA;959450691;;aproindo@terra.es;;INFORMATICA/TELEFONIA;;;;;
PROMOTORA ALMONTEÑA Y OBRAS S.L.U. - ALMONTE;ANTONIO GARROCHENA, 23;21730;ALMONTE;HUELVA;959451340;;;;INMOBILIARIAS;;;;;
AYUNTAMIENTO DE ALMONTE - ALMONTE;ANTONIO MACHADO, 17;21730;ALMONTE;HUELVA;959407857;;info@almonte.es;www.almonte.es;CONSTRUCCION;;;;;
JOSE PICHARDO RUIZ - ALMONTE;ARENAL, 52;21730;ALMONTE;HUELVA;959406180;;;;ARTICULOS DEPORTIVOS;;;;;
MEDIOS DE PREVENCION EXTERNOS S.L. - ALMONTE;AV. CABEZUDOS, 34;21730;ALMONTE;HUELVA;959450542;;info@grupomp.es;;SERVICIOS A EMPRESAS;;;;;
DEALMONTE.COM - ALMONTE;AV. CABEZUDOS, 36;21730;ALMONTE;HUELVA;959450110;;;;SERVICIOS A EMPRESAS;;;;;
AUTO ROMAN - ALMONTE;AV. CABEZUDOS, 45;21730;ALMONTE;HUELVA;959406726;;roman@fordservicios.com;;ALIMENTACION;;;;;
TALLERES GARCIA Y REMOLQUES ALMONTE - ALMONTE;AV. RAFAEL ALBERTI, 25;21730;ALMONTE;HUELVA;959406455;;anibalgarde@hotmail.com;;CARPINTERIA METALICA;;;;;
AGROALIMENTARIA VIRGEN DEL ROCIO S.C.A.  ;AVDA DE LOS CABEZUDOS, 3;21730;ALMONTE;HUELVA;959450689;;administracion@raigal.com;;;;;;;
