Empresa;Direcci√≥n;CP;Ciudad;Provincia;Tel√©fono;M√≥vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
ARTEFERIA - ALMONTE;FERIA, 129;21730;ALMONTE;HUELVA;959407539;;arteferia@arteferia.es;;ELECTRODOMESTICOS;;;;;
CONSTRUCCIONES ROCIERAS S.L.;FERIA,†100                                                                      ;21730;ALMONTE;HUELVA;†959406373;;crocieras@yahoo.es;;SERV. JURIDICOS;;;;;
MSC;HINOJOS, 29;21730;ALMONTE;HUELVA;959406858;959451535;msc@tpi.infomail.es;;INMOBILIARIA;;;;;
ALQUILERES DABERO - ALMONTE;LA SABINA, 2;21730;ALMONTE;HUELVA;649969840;;a437david@msn.com;;SERVICIOS INDUSTRIALES;;;;;
ASESORAMIENTO TECNICO AGRICOLA JUMAROGA S.L.;LEPANTO,†25;21730;ALMONTE;HUELVA;†959450110;;pbarraganv@hotmail.com;;;;;;;
AFA DE ALMONTE - ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER ALMONTE - DO—ANA - ALMONTE;LORENZO CRUZ, 22;21730;ALMONTE;HUELVA;959407984;;afadonana@hotmail.com;;;;;;;
INMOBILIARIA VIRGEN DEL ROCIO - ALMONTE;LORENZO CRUZ, 31;21730;ALMONTE;HUELVA;959451244;;comercial@casasenelrocio.com;www.casasenelrocio.com;;;;;;
LOS ANSARES - ALMONTE;LORENZO CRUZ, 38;21730;ALMONTE;HUELVA;959406781;;jesus@inmobiliarialosansares.com;;INMOBILIARIAS;;;;;
LOS ANSARES - ALMONTE;LORENZO CRUZ, 38;21730;ALMONTE;HUELVA;959406781;;jesus@inmobiliarialosansares.com;www.inmobiliarialossansales.com;;;;;;
SARMIENTO MODAS, S.L.;LUIS BENJUMEA, 16;21730;ALMONTE;HUELVA;959407863;;msarmi@wanadoo.es;;;;;;;
SEGULABE S.L.;LUIS BENJUMEA, 32;21730;ALMONTE;HUELVA;959450508;;;;ASEGURADORAS;;;;;
CONSTRUCCIONES DIEGO MEDINA TORRES - ALMONTE;MORIANA, 1;21730;ALMONTE;HUELVA;959451074;;dmt@dmtconstrucciones.com;;INMOBILIARIA;;;;;
HORMIGONES COMARCAL S.L. - ALMONTE;MORIANA, 29;21730;ALMONTE;HUELVA;959406154;;;;MAQUINARIA PARA CONSTRUCCION;;;;;
ESJORVIC, S.L.;NIEBLA, 59;21730;ALMONTE;HUELVA;959451591;;esjorvic@tpi.infomail.es;;;;;;;
SERVIGES ALMONTE - ALMONTE;PADRE JOS… A. RGUEZ. BEJARANO, 77;21730;ALMONTE;HUELVA;959407607;;info@servigesalmonte.com;;CONCESIONARIOS DE COCHES;;;;;
DO—ANA COMUNICACION - ALMONTE;PADRE JOS… A. RGUEZ. BEJARANO, 80;21730;ALMONTE;HUELVA;959407676;;donatatv@almontewireless.com;;TELECOMUNICACIONES;;;;;
CRISTO OBRERO;PADRE JOSE A. RGUEZ. BEJARANO, S/N;21730;ALMONTE;HUELVA;959406533;;cristo_obrero@fedeccon.com;;TEXTIL;;;;;
MANUFRAN S.L.;PALMOSA, 37;21730;ALMONTE;HUELVA;959407453;;;;CONSTRUCCI”N ;;;;;
BRICOLUZ;PARQUE INDUSTRIAL EL TOMILLAR, S/N;21730;ALMONTE;HUELVA;959451900;;;;EQUIPAMENTOS INDUSTRIAIS;;;;;
ELECTROSAT - ALMONTE;PASTORCITO, 50;21730;ALMONTE;HUELVA;676200617;;;;ELECTRODOMESTICOS;;;;;
SEHUTEL, S.L.;PATERNA, 2;21730;ALMONTE;HUELVA;959451820;959451867;sehutel.se@colon.net;;;;;;;
AUTOESCUELA HUELVA - ALMONTE;PL. ANDALUCÕA, 1;21730;ALMONTE;HUELVA;959407319;;;;AUTOESCUELAS;;;;;
YOIGO - ALMONTE;PL. ANDALUCÕA, 5;21730;ALMONTE;HUELVA;959407629;;;;TELECOMUNICACIONES;;;;;
CRISTO OBRERO - ALMONTE;PL. FUENTE DE LAS DAMAS, 1;21730;ALMONTE;HUELVA;959406533;;cristo_obrero@fedeccom.com;;ELECTRODOMESTICOS;;;;;
CRISTO OBRERO;PL. FUENTE DE LAS DAMAS, 1;21730;ALMONTE;HUELVA;959406533;;cristo_obrero@fedeccom.com;;CONSTRUCCION;;;;;
JESUS MORANO MARTINEZ - ALMONTE;PLATERA, 2;21730;ALMONTE;HUELVA;959450271;;;;ELECTRODOMESTICOS;;;;;
T-1 T-2 S.L.  ;PLAZ VIRGEN DEL ROCIO, 23;21730;ALMONTE;HUELVA;959406789;;miguelventurafotografo@msn.com;;;;;;;
VIAJES HALCON S.A.;PLAZA ANDALUCIA, 12;21730;ALMONTE;HUELVA;959407477;;halcon396@halcon-viajes.es;;TURISMO;;;;;
BANCO DE ANDALUCIA  ;PLAZA VIRGEN DEL ROCIO, 18;21730;ALMONTE;HUELVA;959450353;;00043049@bancoandalucia.es;www.bancoandalucia.es;;;;;;
FUNDACION DO—ANA 21  ;POCITO, 10;21730;ALMONTE;HUELVA;959451815;;fudo21@donana.es;www.donana.es;ALIMENTACION;;;;;
INSTALACIONES Y MONTAJES ELECTRICOS DEL SUR S.A.;POL IND EL TOMILLAR, 34;21730;ALMONTE;HUELVA;959450713;;francisco@imosur.e.telefonica.net;;SALUD;;;;;
DO—ANA FORESTAL S.L.L.  ;POL IND EL TOMILLAR, 40;21730;ALMONTE;HUELVA;959407336;;info@donanaforestal.com;www.donanaforestal.com;;;;;;
DISTEL DO—ANA S.L.  ;POL IND EL TOMILLAR, 63;21730;ALMONTE;HUELVA;959450589;;distel@wanadoo.es;;ALIMENTACION;;;;;
NUEVAS TECNICAS DE RIEGO S.A. POL. INDUSTRIAL EL TOMILLAR, NAVE 6  ;POL IND EL TOMILLAR, S/N;21730;ALMONTE;HUELVA;959450427;;tienda.almonte@ntriego.com;;CONSTRUCCION;;;;;
TOLDOS DO—ANA S.L.  ;POL IND EL TOMILLAR, S/N;21730;ALMONTE;HUELVA;959450958;;toldosdonana@hotmail.com;;;;;;;
TECNI ROTULOS - ALMONTE;POL. IND. EL TOMILLAR, 46;21730;ALMONTE;HUELVA;959451071;;miguel@tecnirotulos.com;;;;;;;
FERRETERIA ALCANTARILLA S.L. - ALMONTE;POL. IND. EL TOMILLAR, 5;21730;ALMONTE;HUELVA;959451920;;;;FERRETERIAS ;;;;;
BRICOLUZ S.L.L. - ALMONTE;POL. IND. EL TOMILLAR, 52;21730;ALMONTE;HUELVA;959451899;;;;FERRETERIAS;;;;;
GALLESA 2000 - ALMONTE;POL. IND. EL TOMILLAR, NAVE 57;21730;ALMONTE;HUELVA;959406214;;pepebaez@gallesa.e.tetefonica.net;;;;;;;
SIMOSA IT S.A. - ALMONTE;POL. IND. EL TOMILLAR, S/N;21730;ALMONTE;HUELVA;959450003;;;;ENERGIA ELECTRICA;;;;;
HERMACABA, S.L.;PZA. FUENTE DE LAS DAMAS 3B;21730;ALMONTE;HUELVA;959450022;959451858;hermacaba@telefonica.net;;TEXTIL;;;;;
INOCSA INGENIERIA S.L. - ALMONTE;RECTOR MARTÕN VILLA, 20;21730;ALMONTE;HUELVA;959451519;;;;SERVICIOS A EMPRESAS;;;;;
FRESMIEL;RECTOR MARTIN VILLA, 7;21730;ALMONTE;HUELVA;959451896;;aldaibafresas@hotmail.com;;;;;;;
ELECTRONICA MARIN - ALMONTE;ROCIO 85 BAJO;21730;ALMONTE;HUELVA;959406754;;electronicamarin2@terra.es;;SERVICIOS A EMPRESAS;;;;;
MIGUEL PAFRI - ALMONTE;RODRIGO DE TRIANA, 17;21730;ALMONTE;HUELVA;635513508;;miguelpafri@hotmail.com;;ENERGIA ELECTRICA;;;;;
CRISTALERIA DIAZ Y DIAZ, S.L.;SANTA ANA, 135;21730;ALMONTE;HUELVA;959406456;959406456;cdiazydiaz@tpi.infomail.es;;;;;;;
AUTOCARES NARANJO;SANTIAGO, 15;21730;ALMONTE;HUELVA;959406097;;autocaresnaranjo@telefonica.net;;;;;;;
DO?ANA EDUCA;SANTIAGO, 4;21730;;HUELVA;959450285;959451857;info@donanaeduca.com;;;;;;;
RUBENT CEPEDA, F.;SANTIAGO, 49;21730;ALMONTE;HUELVA;959406781;;rebent.cepeda.pa@allianz.es;;;;;;;
ATLANTIC LIMPIEZA DE CRISTALES - ALMONTE;SENDA DE LOS TUNOS, 97;21730;ALMONTE;HUELVA;657989661;;atlantic_limpiezas@hotmail.com;;SERVICIOS A EMPRESAS;;;;;
CORIATEL S.L.L. - ALMONTE;TELLO DE ESLAVA, 4;21730;ALMONTE;HUELVA;959406703;;almonte@coriatel.com;;TELECOMUNICACIONES;;;;;
