Empresa;Dirección;CP;Ciudad;Provincia;Teléfono;Móvil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
DECOMAR ESPADA SL;;41700;DOS HERMANAS;SEVILLA;955661899;7;;;;;;;;
HERGACE SL;;41700;DOS HERMANAS;SEVILLA;954721914/ 609786292;9;;;;;;;;
INDUSTRIA PLASTICA GIRALDA, S.A.;;41700;DOS HERMANAS;SEVILLA;609935864;10;;;;;;;;
SUAREZ MILLAN SL;;41700;DOS HERMANAS;SEVILLA;954721072/ 680433471;3;;;;;;;;
FONTANERIA MAURI SL;;41700;DOS HERMANAS;SEVILLA;955661072;4;;;;;;;;
GALLEGO SERRANO 2000 SL;;41700;DOS HERMANAS;SEVILLA;954727800;3;;;;;;;;
CARRIZOSA GOMEZ SL;;41700;DOS HERMANAS;SEVILLA;955677416;5;;;;;;;;
COMERCIAL POSTIGO SL;;41700;DOS HERMANAS;SEVILLA;954720950;4;;;;;;;;
CLINICA ARTEO;;41700;DOS HERMANAS;SEVILLA;955675597;4;;;;;;;;
BLONDE AND BLINDE SL;;41701;DOS HERMANAS;SEVILLA;954724145;4;;;;;;;;
ATEDIBUS;;41701;DOS HERMANAS;SEVILLA;682828282;20;;;;;;;;
REGOLAS Y TALADROS DEL SUR SL;;41701;DOS HERMANAS;SEVILLA;955119811/ 629529256;10;;;;;;;;
ROTULOS ELECTRONEON SL;;41701;DOS HERMANAS;SEVILLA;955664360/ 609527067;6;;;;;;;;
JAVIER RODRIGUEZ BOCANEGRA;;41701;DOS HERMANAS;SEVILLA;633788195;3;;;;;;;;
ASESORIA ARQUELLADA SL;;41701;DOS HERMANAS;SEVILLA;955666701;4;;;;;;;;
JOSE RUBIO RODRIGUEZ;;41701;DOS HERMANAS;SEVILLA;954728971;5;;;;;;;;
CONSTRUCCIONES Y REGOLA FD CAMACHO, SRL;;41702;DOS HERMANAS;SEVILLA;4455221;5;;;;;;;;
TOLDOS Y ROTULOS SEVILLA SC;;41702;DOS HERMANAS;SEVILLA;955663341;5;;;;;;;;
TALLERES QUINTANO;;41702;DOS HERMANAS;SEVILLA;954720427;3;;;;;;;;
HNOS PERA PRIETO SL;;41702;DOS HERMANAS;SEVILLA;954721493;7;;;;;;;;
ALUMINIOS DECORACION;;41702;DOS HERMANAS;SEVILLA;955664393;5;;;;;;;;
DISTRELEC S.L;;41702;DOS HERMANAS;SEVILLA;955662456;7;;;;;;;;
LABORATORIO DNTAL CROMA SL;;41702;DOS HERMANAS;SEVILLA;955675894;3;;;;;;;;
JM VIEJOS ALUMINIOS VIEJOS;;41702;DOS HERMANAS;SEVILLA;955679080;1;;;;;;;;
TRANSMIAUTO DOS SL;;41702;DOS HERMANAS;SEVILLA;954721083;3;;;;;;;;
ANTONIO RUIZ GARCIA;;41702;DOS HERMANAS;SEVILLA;955660811;4;;;;;;;;
LUIS JAVIER MENOR SERRANO;;41702;DOS HERMANAS;SEVILLA;954726865;3;;;;;;;;
VIAJES DAYVER S.L;;41702;DOS HERMANAS;SEVILLA;955660487;3;;;;;;;;
JOSE ANTONIO MARTIN GARCIA;;41702;DOS HERMANAS;SEVILLA;955676333;3;;;;;;;;
CARMEN PEREZ BUENO;;41702;DOS HERMANAS;SEVILLA;656935031;4;;;;;;;;
(R) FRANCISCO JOSE LOPEZ ARRABAL;;41702;DOS HERMANAS;SEVILLA;635519202;9;;;;;;;;
ANTONIO RAMOS NARANJO (ROTULOS LUMISUR);;41703;DOS HERMANAS;SEVILLA;954690680;0;;;;;;;;
BARONA SEVILLA DELEGACION SL;;41703;DOS HERMANAS;SEVILLA;954930140;7;;;;;;;;
TALLERES GONZALEZ Y BURGOS SL;;41703;DOS HERMANAS;SEVILLA;954250502;3;;;;;;;;
AUDIOTURBO;;41703;DOS HERMANAS;SEVILLA;654730809;3;;;;;;;;
AUTODESGUACE SIGLO XXI;;41703;DOS HERMANAS;SEVILLA;955665772;9;;;;;;;;
INGENIERIA DEL AGUA Y ENERGIA;;41703;DOS HERMANAS;SEVILLA;954931529;14;;;;;;;;
CINTACRUZ SL;;41703;DOS HERMANAS;SEVILLA;954680354;4;;;;;;;;
