Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
FINMAR ADMINISTRACION DE FINCAS;AVENIDA CRUZ DEL CAMPO, 7;41005;SEVILLA;SEVILLA;954631891;;grupofinmar@grupofinmar.es;www.grupofinmar.es;INMOBILIARIA;;;;;
TARACEA-ALBORES;AVENIDA DE ANDALUCÍA, 20;41005;SEVILLA;SEVILLA;954580113;;;;DECORACION E INTERIORISMO;;;;;
ALFONSO FONT S.L.;AVENIDA DE EDUARDO DATO, 28;41005;SEVILLA;SEVILLA;954635496;;info@alfonsofont.es;www.alfonsofont.es;ALIMENTACION;;;;;
AGYS S.L.;AVENIDA DE SAN FRANCISCO JAVIER, 9 - EDIFICIO SEVILLA 2;41005;SEVILLA;SEVILLA;954925934;;agys@agys.es;www.agys.es;REFORMASENGENERAL;;;;;
AGYS S.L.;AVENIDA DE SAN FRANCISCO JAVIER, 9 - EDIFICIO SEVILLA 2;41005;SEVILLA;SEVILLA;954925934;;agys@agys.es;www.agys.es;CONSTRUCCION;;;;;
DATO ASESORIA GABINETE JURIDICO;AVENIDA EDUARDO DATO 44 LOCAL E;41005;SEVILLA;SEVILLA;954933473;;e.infodato@gmail.com;;SERV. JURIDICOS;;;;;
LINO 1959;AVENIDA EDUARDO DATO, 22;41005;SEVILLA;SEVILLA;954662962;;;;CONFECCIONES;;;;;
DENTIMAGEN-SEVILLA;AVENIDA EDUARDO DATO, 24;41005;SEVILLA;SEVILLA;954921800;;;www.dentimagen.com;ESTOMATOLOGOS;;;;;
ABOGADO ASENCIO CANTISAN;AVENIDA EDUARDO DATO, 25 - PORTAL 5, 2º L  INTERSECCIÓN AVDA. EDUARDO DATO - AVDA. BUAHIRA ;41005;SEVILLA;SEVILLA;954541133;;;;ABOGADOS;;;;;
ENGLISHLANGUAGEINSTITUTE-SEVILLA;AVENIDA EDUARDO DATO, 36;41005;SEVILLA;SEVILLA;954640026;;;;ACADEMIA DE IDIOMAS;;;;;
MARÍAJOSÉLÓPEZLOZANO-SEVILLA;AVENIDA EDUARDO DATO, 40 - 1° C;41005;SEVILLA;SEVILLA;954658351;;info@mjlopezlozano.com;;MEDICOS;;;;;
PRÓXIMACUIDADOS-SEVILLA;AVENIDA EDUARDO DATO, 85 - 1° B;41005;SEVILLA;SEVILLA;954933247;;;www.proximacuidados.es;TERCERA EDAD ;;;;;
CENTROANDALUZDEPSICOLOGÍA-SEVILLA;AVENIDA LUIS DE MORALES, 1 - BQ. 4, 2° B;41005;SEVILLA;SEVILLA;954915468;;;;SALUD;;;;;
