Empresa;DirecciÃ³n;CP;Ciudad;Provincia;TelÃ©fono;MÃ³vil;Email;Web;Sector;N. Empleados;Administrador;P.Contacto;CIF;Comentario
CONSPEMA S.L.  ;CMNO COLMENAR, 7;29013;BONARES;HUELVA;952652723;;conspema@infonegocio.com;;ALIMENTACION;;;;;
FUNDACION RED ANDALUCIA EMPRENDE  ;CTRA ROCIANA, KM. 0002,5;21830;BONARES;HUELVA;959364821;;bonares@redes.net;;;;;;;
AUTOESCUELA ODIEL S.L. - BONARES;ESPERANZA, 76;21830;BONARES;HUELVA;959100443;;;;AUTOESCUELAS;;;;;
CONSORCIO CONDADO DE HUELVA  ;FINC EL CORCHITO, 41;21830;BONARES;HUELVA;959364840;;cdohuelva2utedlt@juntadeandalucia.es;www.raute.org;;;;;;
FERRETERIA CARRASCO - BONARES;INGENIERO ILDEFONSO PRIETO, 9;21830;BONARES;HUELVA;959366134;;;;FERRETERIAS;;;;;
COBORJA;NUEVA, 9;21830;BONARES;HUELVA;959366114;;coborja@terra.es;;SALUD;;;;;
AYUNTAMIENTO DE BORMUJOS;PL. ANDALUCIA, S/N;41930;BONARES;HUELVA;955724571;;bormujos@dipusevilla.es;;;;;;;
AYUNTAMIENTO DE BONARES;PL. CONSTITUCION, 1;21830;BONARES;HUELVA;959366001;;ayto_bonares@diphuelva.es;;;;;;;
PEDRO BELTRAN, S.A.;PLAZA DE ESPAÑA, 12;21830;BONARES;HUELVA;959366035;959366406;info@ceramicaspedrobeltran.com;www.ceramicaspedrobeltran.com;CONSTRUCCION;;;;;
PEDRO BELTRAN, S.A.;PLAZA DE ESPAÑA, 12;21830;BONARES;HUELVA;959366035;959366406;pbeltran@tpi.infomail.es;;;;;;;
CAMACHO NUÑEZ LUIS MARIANO;PLAZA REDING, 3;23710;BONARES;HUELVA;953676071;;soporte@sistem-infomovil.com;www.system-infomovil.com;;;;;;
CARPINTERIA METALICA TALLERES BONARES VELARDE S.L. POL. EL CORCHITO, NAVES 31 A 34  ;POL IND EL CORCHITO, S/N;21830;BONARES;HUELVA;959364860;;tvelarde@terra.es;;REJAS METÁLICAS;;;;;
CARPINTERIA METALICA TALLERES BONARES VELARDE S.L. POL. EL CORCHITO, NAVES 31 A 34  ;POL IND EL CORCHITO, S/N;21830;BONARES;HUELVA;959364860;;tvelarde@terra.es;;;;;;;
QUESOS DOÑANA;POL. IND. EL CORCHITO, S/N;21830;BONARES;HUELVA;959366302;;quesos_donana@hotmail.com;www.quesosdonana.es;;;;;;
JOAQUÍN PONCE;POLIGONO EL CORCHITO PARC. 57 - 59;21830;BONARES;HUELVA;959364863;;;;ACERO ;;;;;
TALLERES BONARES VELARDE CARPINTERIA METALICA S.L.;POLIGONO EL CORCHITO, 31;21830;BONARES;HUELVA;956364860;;oficina@velardecarpinteria.com;www.velardecarpinteria.com;CONSTRUCCION;;;;;
JOAQUIN PONCE;POLIGONO EL CORCHITO, 59;21830;BONARES;HUELVA;959364055;;dptotecnico@joaquinponce.com;;;;;;;
JOAQUÍN PONCE - BONARES;POLÍGONO EL CORCHITO, 59;21830;BONARES;HUELVA;959364055;;dptotecnico@joaquinponce.com;;CARPINTERIA METALICA;;;;;
TRANSVICOR;POLIGONO IND. LAS QUEMADAS, C/ DIEGO GALVAN,;14014;BONARES;HUELVA;957326741;957326742;transvicor@telefonica.net;;CONSTRUCCION;;;;;
AGENCIA DE TRANSPORTES FRIGOSUR HUELVA, S.L.;PZ ANDALUCIA 5;21830;BONARES;HUELVA;959366913;959364382;;;TRANSPORTES DE MERCANCIAS POR CARRETERA TANTO NACIONALES COMO INTERNACIONALES ;;;;;
INOVAL INOXIDABLES;SAN ANTÓN, 7  BONARES ;21830;BONARES;HUELVA;959364434;;;;ACERO ;;;;;
CAMACHO MARTIN, A.;SAN JUAN EVANGELISTA, S/N;21830;BONARES;HUELVA;959366736;;antonia.camacho.pa@allianz.es;;INMOBILIARIA;;;;;
ASOC.DESARROLLO RURAL INTEGRAL COSTA OCCID.HUELVA;SAN PEDRO, 60;21450;BONARES;HUELVA;959390207;959390091;adricoh.proder@telecotrans.es;;ASOCIACIÓN PARA EL DESARROLLO DE LA ZONA ;;;;;
PRODUCTOS FRAYMA - BOLLULLOS PAR DEL CONDADO;CONDADO DE NIEBLA, 32;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411138;;mjojeda81@hotmail.com;;SERV. JURIDICOS;;;;;
SANCHEZ DOMINGUEZ, S.;DAOIZ, 8;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959411243;;sara.sanchez.pa@allianz.es;;SERV. JURIDICOS;;;;;
BODEGAS SAUCI - BOLLULLOS PAR DEL CONDADO;DR. FLEMING, 1;21710;BOLLULLOS PAR DEL CONDADO;HUELVA;959410524;;info@bodegassauci.es;www.bodegassauci.es;ALIMENTACION;;;;;
